สาขาวิชา,ชาย,หญิง,ไม่ระบุเพศ,แรงงานไทย,แรงงานต่างด้าว,แรงงานที่ต้องการรวม
การตลาด,30,51,159,240,0,240
การบัญชี,15,85,110,209,1,210
บริหารธุรกิจ,23,67,91,181,0,181
การเงิน,0,1,3,4,0,4
Total_ALL_บริหารธุรกิจ,68,204,363,634,1,635
