"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 3-5 ปี","0","0","6","6","0","6"
"วิศวกรรม","6","0","0","6","0","6"
"คอมพิวเตอร์","0","3","3","6","0","6"
"ป. ตรีมัธยมศึกษา (บริการสื่อการศึกษา)","5","1","0","6","0","6"
"ป. ตรีการประถมศึกษา","0","0","5","0","5","5"
"ป.ตรีวิศวกรรมไฟฟ้าและระบบ","0","0","5","5","0","5"
"การตลาด คอมพิวเตอร์ โลจิสติกส์","0","5","0","5","0","5"
"ป.ตรีพยาบาลศึกษา","0","0","5","5","0","5"
"ป.ตรีสังคมสิ่งแวดล้อม","0","0","5","5","0","5"
"การตลาดหรือสาขาที่เกี่ยวข้อง","0","0","5","5","0","5"
"ที่เกี่ยวข้อง","4","1","0","5","0","5"
"โลจิสติกส์ การตลาด คอมพิวเตอร์","0","5","0","5","0","5"
"วิศวกรรม / ช่างไฟฟ้า / งานระบบอาคาร","2","0","3","5","0","5"
"วิศวกรรมเครื่องมือวัด","5","0","0","5","0","5"
"Mechanical Engineer or any related filed.","2","0","3","5","0","5"
"ป.ตรีเทคนิคการแพทย์","0","0","5","5","0","5"
"ไฟฟ้าหรือบริหารธุรกิจหรือสาขาที่เกี่ยวข้อง","0","0","5","5","0","5"
"ป.ตรีหมวดธุรกิจการเกษตร","0","0","5","5","0","5"
"กราฟฟิกส์ดีไซด์","1","0","4","5","0","5"
"ป.ตรีการผลิต","0","0","5","5","0","5"
"การตลาด การขาย","0","0","5","5","0","5"
"ป.ตรีวิศวกรรมไฟฟ้า (เทคโนโลยีไฟฟ้าอุตสาหกรรม)","2","0","2","4","0","4"
"บริหารธุรกิจ","1","2","1","4","0","4"
"ป.ตรีการออกแบบนิเทศศิลป","2","2","0","4","0","4"
"ป.ตรีศาสตร์คอมพิวเตอร์","0","0","4","4","0","4"
"ป.ตรีวิจัยและพัฒนาหลักสูตร","0","0","4","4","0","4"
"ป.ตรีการบริหารทรัพยากรมนุษย์","0","1","3","4","0","4"
"วิศวกรโยธา","2","0","2","4","0","4"
"ป.ตรีการสอนอุตสาหกรรมศิลป์(ออกแบบ-เขียนแบบ)","2","1","1","4","0","4"
"การดูแลเด็กและผู้สูงอายุ","0","4","0","4","0","4"
"ป.ตรีสื่อสารและการจัดการธุรกิจ","0","0","4","4","0","4"
"ป.ตรีวิทยาศาสตร์การอาหาร","2","0","2","4","0","4"
"วิศวกรรมเครื่องกล","2","0","2","4","0","4"
"ป.ตรีบริหารธุรกิจ-การตลาด","0","0","4","4","0","4"
"วิศวกรรมศาสตร์","3","0","1","4","0","4"
"ป.ตรีครุศาสตร์ ปฐมวัย","0","4","0","2","2","4"
"เครื่องกล,อุตสาหการ","4","0","0","4","0","4"
"คหกรรมศาสตร์","0","2","2","4","0","4"
"ป. ตรีออกแบบ - เขียนแบบ)","0","0","4","4","0","4"
"ไม่จำกัดวุฒิ","0","0","4","4","0","4"
"บริหาร","0","1","3","4","0","4"
"ป.ตรีคณิตศาสตร์ศึกษา","0","1","3","4","0","4"
"ป.ตรีเทคโนโลยีอาหาร","0","0","3","3","0","3"
"ป.ตรีเครื่องกล","2","0","1","3","0","3"
"ป. ตรีประถมศึกษา (ภาษาอังกฤษ)","0","1","2","2","1","3"
"ป. ตรีมัธยมศึกษา (อุตสาหกรรมศิลป์ออกแบบ - เขียนแบบ)","0","0","3","3","0","3"
"สาขา วิทยาศาสตร์การอาหารหรือสาขาที่เกี่ยวข้อง","0","0","3","3","0","3"
"ป.ตรีวิศวกรรมเคมีและเทคนิควัสดุ / สิ่งทอ","0","0","3","3","0","3"
"Mechanical Engineer any field.","0","0","3","3","0","3"
"วิศวกร","1","0","2","3","0","3"
"สัตวบาล / สัตวศาสตร์","1","0","2","3","0","3"
"Rubber Technology","3","0","0","3","0","3"
"ป.ตรีการบัญชีต้นทุน","0","3","0","3","0","3"
