"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ก่อสร้าง","6","0","0","6","0","6"
"คอมพิวเตอร์ธุรกิจ","2","1","3","6","0","6"
"ป.ตรีการจัดการ","0","1","4","5","0","5"
"ป. ตรีการประถมศึกษา","0","0","5","0","5","5"
"ไฟฟ้า","5","0","0","5","0","5"
"ป. ตรีประถมศึกษา (คณิตศาสตร์)","0","0","5","1","4","5"
"การจัดการ","0","5","0","5","0","5"
"เชื่อมโลหะ","5","0","0","5","0","5"
"วิศวะอุตสาหกรรมการผลิต","0","0","5","5","0","5"
"ปวส. บริหารธุรกิจ","3","2","0","5","0","5"
"ช่างซ่อมบำรุง","5","0","0","5","0","5"
"บริหารธุรกิจ","2","2","1","5","0","5"
"ป.ตรีอาชีวอนามัยและความปลอดภัย","1","1","3","5","0","5"
"สาขาวิชาช่างซ่อมบำรุง","5","0","0","5","0","5"
"ป.ตรีวิทยาศาสตร์","0","0","5","5","0","5"
"ช่างกล ,ช่างไฟฟ้า","0","0","5","5","0","5"
"ปวส. ช่างโยธา","5","0","0","5","0","5"
"การเงินการบัญชี","0","5","0","5","0","5"
"ปวช. ช่างเขียนแบบเครื่องกล","3","0","2","5","0","5"
"ปวช. ช่างอิเลกทรอนิกส์","3","0","2","5","0","5"
"อิเล็กทรอนิกส์/ไฟฟ้า/คอมพิวเตอร์","2","0","3","5","0","5"
"ปวส. คอมพิวเตอร์กราฟฟิค","1","4","0","5","0","5"
"วิศวโยธา","4","0","1","5","0","5"
"วุฒิช่างหรือที่เกี่ยวข้อง","4","0","0","4","0","4"
"ปวส.การจัดการทั่วไป","0","1","3","4","0","4"
"การดูแลเด็กและผู้สูงอายุ","0","4","0","4","0","4"
"ป.ตรีวิจัยและพัฒนาหลักสูตร","0","0","4","4","0","4"
"ปวช. ช่างซ่อมบำรุง","3","0","1","4","0","4"
"ป.ตรีวิศวกรรมก่อสร้าง","1","0","3","4","0","4"
"ปวช.คอมพิวเตอร์ธุรกิจ","2","1","1","4","0","4"
"ป.ตรีครุศาสตร์ ปฐมวัย","0","4","0","2","2","4"
"ป.ตรีวิทยาศาสตร์-เคมี","0","0","4","4","0","4"
"การขายหรือการตลาด และต้องมีประสบการณ์ในสายงาน อย่างน้อย 1-2 ปี","2","0","2","4","0","4"
"การตลาด การขาย","1","0","3","4","0","4"
"Mechanical Engineer or any related filed.","2","0","2","4","0","4"
"ทั่วไป","3","1","0","4","0","4"
"วิศวกรก่อสร้าง","0","0","3","3","0","3"
"Rubber Technology","3","0","0","3","0","3"
"ป.ตรีสัตวแพทย์","0","1","2","3","0","3"
"ช่างยานยนต์","0","0","3","3","0","3"
"ป.ตรีเทคโนโลยีการเกษตร วิชาเอกเทคโนโลยีพืชสวน","0","0","3","3","0","3"
"ไฟฟ้ากำลังหรือช่างอุตสาหกรรม","3","0","0","3","0","3"
"ป.ตรีบัญชี","0","1","2","3","0","3"
"ยานยนต์","3","0","0","3","0","3"
"ป.ตรีการสอนอุตสาหกรรมศิลป์(ออกแบบ-เขียนแบบ)","2","1","0","3","0","3"
"สาขาวิชาเทคนิคอุตสาหกรรม","3","0","0","3","0","3"
"ป.ตรีคณิตศาสตร์ / สถิติ","0","3","0","3","0","3"
"ปวส. ช่างไฟฟ้า (เครื่องกลไฟฟ้า)","3","0","0","3","0","3"
