"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ปวส. ช่างเทคนิคอุตสาหกรรมเปโตรเคมี","20","4","0","24","0","24"
"ทุกสาขา","14","6","2","22","0","22"
"ปวส. ช่างอิเลกทรอนิกส์","10","10","0","20","0","20"
"ปวส. ช่างกลโรงงาน","12","0","2","14","0","14"
"ปวช. ช่างยนต์","11","0","0","11","0","11"
"ปวช. ช่างไฟฟ้ากำลัง","5","0","5","10","0","10"
"สาขาวิศวกรรมไฟฟ้าหรือสาขาที่เกี่ยวข้อง","0","0","10","10","0","10"
"ป.ตรีวิศวกรรมคอมพิวเตอร์","0","0","10","10","0","10"
"ปวส.การจัดการทั่วไป","4","6","0","10","0","10"
"ป.ตรีวิศวกรรมไฟฟ้า / อิเล็กทรอนิกส์ / คอมพิวเตอร์","6","3","0","9","0","9"
"สาขาที่เกี่ยวข้อง","7","1","0","8","0","8"
"วุฒิช่างหรือที่เกี่ยวข้อง","7","0","0","7","0","7"
"ปวช. เครื่องกล","7","0","0","6","1","7"
"บริหารธุรกิจหรือสาขาที่เกี่ยวข้อง","0","0","7","7","0","7"
"ป.ตรีวิศวกรรมไฟฟ้า","0","0","6","6","0","6"
"ป.ตรีการบัญชี, บัญชีการเงิน","0","2","4","6","0","6"
"ปวส. เคมีอุตสาหกรรม","0","0","6","6","0","6"
"ไฟฟ้าหรือบริหารธุรกิจหรือสาขาที่เกี่ยวข้อง","0","0","5","5","0","5"
"ป.ตรีวิศวกรรมไฟฟ้าและระบบ","0","0","5","5","0","5"
"ปวส. ช่างยนต์","5","0","0","5","0","5"
"วิศวโยธา","5","0","0","5","0","5"
"สาขาวิศวกรรมคอมพิวเตอร์หรือเทคโนโลยีสารสนเทศหรือสาขาที่เกี่ยวข้อง","0","0","5","5","0","5"
"สาขา วิทยาศาสตร์การอาหารหรือสาขาที่เกี่ยวข้อง","0","0","5","5","0","5"
"ปวส. ช่างไฟฟ้า (เครื่องกลไฟฟ้า)","4","0","0","4","0","4"
