"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"วิศวกรรมคอมพิวเตอร์","0","0","7","7","0","7"
"Computer Engineering, Chemical Engineering, Petrochemical Engineering, Instrumentation Engineering, Control Engineering, Industrial Engineering, Mechanical Electrical Power Engineering, Electrical Engineering,","0","0","7","7","0","7"
"ป.ตรีวิศวกรรมเคมี","3","0","4","7","0","7"
"ปวส. บริหารธุรกิจ การจัดการ","0","3","4","7","0","7"
"ปวช.ช่างไฟฟ้า","6","0","0","6","0","6"
"ป.ตรีเศรษฐศาสตร์","0","0","6","6","0","6"
"ปวส. ช่างอิเลกทรอนิกส์","5","0","1","6","0","6"
"ป.ตรีครุศาสตร์ , ศึกษาศาสตร์","0","6","0","6","0","6"
"ป. ตรีมัธยมศึกษา (บริการสื่อการศึกษา)","5","1","0","6","0","6"
"ป.ตรีการโรงแรม","3","3","0","6","0","6"
"ป.ตรีการโรงแรมและการท่องเที่ยว / อุตสาหกรรม / ประกันภัย","1","3","2","6","0","6"
"ป.ตรีอาชีวอนามัยและความปลอดภัย","3","1","2","6","0","6"
"ป.ตรีวิศวกรรมโยธา/ก่อสร้าง","4","1","1","6","0","6"
"การขาย","0","1","5","6","0","6"
"ปวช.ช่างยนต์","6","0","0","6","0","6"
"การตลาด","0","0","6","6","0","6"
"วิศวกรรม","6","0","0","6","0","6"
"ก่อสร้าง","4","0","2","6","0","6"
"สำนักงานใหญ่","6","0","0","6","0","6"
"ปวส. สัตวศาสตร์","0","0","5","5","0","5"
"ก่อสร้าง/เทียบเท่า","5","0","0","5","0","5"
"ป.ตรีพยาบาลศึกษา","0","0","5","5","0","5"
"ปวช. ช่างซ่อมบำรุง","5","0","0","5","0","5"
"โลจิสติกส์ การตลาด คอมพิวเตอร์","0","5","0","5","0","5"
"ป.ตรีการบริหารและการจัดการ","0","3","2","5","0","5"
"การขาย/การตลาด","0","4","1","5","0","5"
"ป.ตรีสัตวแพทย์","2","0","3","5","0","5"
"ป.ตรีการผลิต","0","0","5","5","0","5"
"ไม่จำกัดวุฒิ","0","1","4","5","0","5"
"บริหาร บัญชี การเงิน","0","0","5","5","0","5"
"ป.ตรีการตลาดทั่วไป","0","0","5","5","0","5"
"การตลาด คอมพิวเตอร์ โลจิสติกส์","0","5","0","5","0","5"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 3-5 ปี","0","0","5","5","0","5"
"บริหารทั่วไป","3","2","0","5","0","5"
"ทุกสาขาที่เกี่่ยวข้อง","5","0","0","5","0","5"
"ปวช.เทคนิคไฟฟ้า","5","0","0","5","0","5"
"ปวส. ช่างกล","5","0","0","5","0","5"
"ป.ตรีหมวดธุรกิจการเกษตร","0","0","5","5","0","5"
"การจัดการโลจิสติกส์","2","1","2","5","0","5"
"ปวส. การโรงแรม","0","3","2","5","0","5"
"พาณิชยาการ","0","1","4","5","0","5"
"ช่างซ่อมบำรุง","5","0","0","5","0","5"
"วิศวกรรมเครื่องมือวัด","5","0","0","5","0","5"
"ยานยนต์","3","0","1","4","0","4"
"เครื่องกล,อุตสาหการ","4","0","0","4","0","4"
"Laws","0","0","4","4","0","4"
"ปวส.ช่างไฟฟ้า","0","0","4","4","0","4"
"ป.ตรีสังคมสิ่งแวดล้อม","0","0","4","4","0","4"
"คอมฟิวเตอร์","2","0","2","4","0","4"
"การตลาด หรือสาขาที่เกี่ยวข้อง","0","0","4","4","0","4"
"ช่างไฟฟ้า/ช่างอิเลกทรอนิกส์ หรือ สาขาอื่นที่เกี่ยวข้อง","4","0","0","4","0","4"
"ป.ตรีสื่อสารและการจัดการธุรกิจ","0","0","4","4","0","4"
"การบริหาร","0","4","0","4","0","4"
"ปวส. วิศวกรรมเขียนแบบและออกแบบ การผลิต","3","0","1","4","0","4"
"ปวส. ปิโตรเคมี","0","0","4","4","0","4"
"ทุกสาขาวิชา","4","0","0","4","0","4"
"คหกรรมศาสตร์","0","2","2","4","0","4"
"ปวส. บริหารธุรกิจ","0","3","1","4","0","4"
"ป. ตรีออกแบบ - เขียนแบบ)","0","0","4","4","0","4"
"ป.ตรีการจัดการทั่วไป","0","2","2","4","0","4"
"ปวส. ช่างไฟฟ้า (ติดตั้งควบคุม)","2","0","2","4","0","4"
"ป.ตรีคอมพิวเตอร์ธุรกิจ","2","1","1","4","0","4"
"ปวส. ช่างกลโรงงาน, ช่างเทคนิคอุตสาหกรรม","3","0","1","4","0","4"
"การไฟฟ้า","4","0","0","4","0","4"
"บริหาร","1","2","1","4","0","4"
"ป.ตรีการออกแบบนิเทศศิลป","2","2","0","4","0","4"
"ป.ตรีศาสตร์คอมพิวเตอร์","0","0","4","4","0","4"
"ก่อสร้าง หรือที่เกี่ยวข้อง","4","0","0","4","0","4"
"การขายหรือการตลาด และต้องมีประสบการณ์ในสายงาน อย่างน้อย 1-2 ปี","3","1","0","4","0","4"
"วิชาชีพ","2","2","0","4","0","4"
"การก่อสร้าง","4","0","0","4","0","4"
"ปวส. เทคโนโลยีอาหารและโภชนาการ","3","0","1","4","0","4"
"ปวสไฟฟ้าและ THERMAL","4","0","0","4","0","4"
"ป.ตรีวิศวกรรมศาสตร์และช่างต่าง ๆ","2","0","2","4","0","4"
"การโยธา","4","0","0","4","0","4"
"Finance, Economics, Business Administration","0","0","4","4","0","4"
"ป.ตรีการเงิน","0","1","2","3","0","3"
"ป.ตรีการจัดการทรัพยากรบุคคล","1","0","2","3","0","3"
"ปวส. ช่างเขียนแบบเครื่องกล","2","0","1","3","0","3"
"วิศวกรโยธา","2","0","1","3","0","3"
"ป. ตรีประถมศึกษา (คณิตศาสตร์)","0","1","2","2","1","3"
"การตลาดหรือสาขาที่เกี่ยวข้อง","0","0","3","3","0","3"
"ปวส. ช่างเทคนิคสถาปัตยกรรม","0","0","3","2","1","3"
"ป.ตรีการจัดการ","0","2","1","3","0","3"
"ปวส. เทคนิคการผลิต","3","0","0","3","0","3"
"ป.ตรีวิศวกรรมอุตสาหการ","1","1","1","3","0","3"
"เกษตร","1","0","2","3","0","3"
"กราฟฟิกส์ดีไซด์","0","0","3","3","0","3"
"สาขาบัญชี หรือสาขาที่เกี่ยวข้อง","0","0","3","3","0","3"
"ป.ตรีวิศวกรรมสิ่งแวดล้อม","0","0","3","3","0","3"
"คอมพิวเตอร์","2","0","1","3","0","3"
"ไฟฟ้า หรือ สาขาอื่นที่เกี่ยวข้อง","3","0","0","3","0","3"
"คอมพิวเตอร์ธุรกิจ","0","0","3","3","0","3"
"วิศวกรไฟฟ้า","3","0","0","3","0","3"
"ป. ตรีประถมศึกษา (วิทยาศาสตร์ทั่วไป)","0","1","2","3","0","3"
"เทคนิคยานยนต์","3","0","0","3","0","3"
"ป.ตรีการโรงแรมและการท่องเที่ยว","0","0","3","3","0","3"
"สาธารณสุข","1","1","1","3","0","3"
"ป.ตรี วิศวเครื่องกล","0","0","3","3","0","3"
"ป.ตรีคณิตศาสตร์ศึกษา","0","1","2","3","0","3"
"ป.ตรีพยาบาลศาสตร์","0","3","0","3","0","3"
"พาณิชยการ","1","2","0","3","0","3"
"วิศวกรรมเครื่องกล","2","0","1","3","0","3"
"ป. ตรีประถมศึกษา (ภาษาอังกฤษ)","0","1","2","2","1","3"
"ปวส. ช่างเชื่อมและโลหะแผ่น","3","0","0","3","0","3"
"ความคุมเครื่องจักร","3","0","0","3","0","3"
"ป.ตรีบริหารธุรกิจ-การตลาด","0","0","3","3","0","3"
"สัตวบาล / สัตวศาสตร์","1","0","2","3","0","3"
"สาขาไฟฟ้า,อิเล็กทรอนิกส์,เครื่องกล หรือสาขาอื่นๆ ที่เกี่ยวข้อง","3","0","0","3","0","3"
"บัญชีการเงิน","0","2","1","3","0","3"
